pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CU,4/19/18,75.3,1.9343,5.8268,Dillon Peters,592885,596071,field_error,hit_into_play_no_out,,,,,4,Christian Yelich reaches on a fielding error by second baseman Starlin Castro.   Lorenzo Cain to 3rd.  ,R,L,L,MIL,MIA,X,4,ground_ball,3,2,2018,-0.4324,-1.5739,-0.4554,2.1312,null,456715,null,0,1,Bot,147.41,154.25,,,592663,,180420_002655,-4.132,-109.1778,2.28,-2.4471,22.585,-44.9748,3.1606,1.3017,19,98.3,-6.073,73.297,2922,5.384,529686,596071,592663,571506,516770,605119,500743,518618,621446,457727,55.1155,0.281,0.258,0.9,1,0,0,2,5,8,Curveball,0,0,0,0,0,0,0,0,Standard,Standard
KC,9/25/18,79.4,1.6673,6.9675,Austin Gomber,592885,596295,field_out,hit_into_play,,,,,6,"Christian Yelich grounds out, second baseman Kolten Wong to first baseman Matt Carpenter.  ",R,L,L,STL,MIL,X,4,ground_ball,0,1,2018,-0.36,-0.7197,0.2989,2.4476,null,null,null,1,1,Top,148.72,147.84,,,425877,,180926_001644,-2.3121,-115.5101,-1.82,-2.7458,20.7442,-38.4046,3.49,1.601,8,99.5,-16.737,78.683,2573,5.719,531763,596295,425877,572761,543939,576397,657557,542303,664056,500874,54.7796,0.194,0.176,0,1,0,0,2,2,2,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard
SI,5/23/18,90.6,2.3695,5.6808,T.J. McFarland,592885,519008,grounded_into_double_play,hit_into_play,,,,,12,"Christian Yelich grounds into a double play, second baseman Ketel Marte to shortstop Nick Ahmed to first baseman Paul Goldschmidt.   Hernan Perez out at 2nd.  ",R,L,L,MIL,ARI,X,4,ground_ball,1,1,2018,1.4448,0.3803,0.9641,2.9099,null,null,541650,0,5,Bot,151.47,153.24,,,571974,,180523_190421,-6.4938,-131.6854,-1.7625,17.9444,28.1136,-27.6768,3.3277,1.4783,24,93.8,-4.699,89.896,1986,5.932,530131,519008,571974,502671,606466,571918,605113,444482,572008,593647,54.5669,0.247,0.231,0,1,0,0,2,49,3,Sinker,8,2,8,2,2,8,8,2,Standard,Standard
KC,7/22/18,81.8,2.2495,5.5383,Alex Wood,592885,622072,field_out,hit_into_play,,,,,4,"Christian Yelich grounds out, second baseman Logan Forsythe to first baseman Cody Bellinger.  ",R,L,L,MIL,LAD,X,4,ground_ball,1,1,2018,-0.0648,-0.2008,-0.6609,2.5598,null,null,null,2,4,Bot,150.8,154.87,,,605131,,180722_193444,-6.3648,-118.7255,0.3276,0.7583,25.2664,-34.3615,3.5419,1.6197,7,88.1,-19.426,80.515,2005,5.806,530895,622072,605131,641355,523253,571970,592518,621035,571771,461314,54.6934,0.123,0.105,0,1,0,0,2,40,3,Knuckle Curve,2,6,2,6,6,2,2,6,Standard,Standard
SI,3/30/18,89.6,2.0174,6.4629,Joey Lucchesi,592885,664192,field_out,hit_into_play,,,,,9,"Christian Yelich grounds out, second baseman Carlos Asuaje to first baseman Eric Hosmer.  ",R,L,L,SD,MIL,X,4,ground_ball,0,1,2018,0.8834,1.0128,0.5361,2.0546,null,null,null,0,3,Top,144.36,165.43,,,595978,,180331_025540,-5.5196,-130.2816,-7.0577,11.1805,25.3817,-19.4143,3.4125,1.5636,3,96.6,-34.754,89.862,2147,6.333,529426,664192,595978,543333,641319,605486,520471,517369,622534,571976,54.1696,0.089,0.086,0,1,0,0,2,22,2,Sinker,3,2,2,3,2,3,2,3,Standard,Standard
SI,8/14/18,91.1,1.8408,6.0621,Jose Quintana,592885,500779,field_out,hit_into_play,,,,,14,"Christian Yelich grounds out softly, second baseman Ben Zobrist to first baseman Anthony Rizzo.  ",R,L,L,CHC,MIL,X,4,ground_ball,0,0,2018,1.0107,1.0351,1.0435,2.5859,null,null,456715,2,2,Top,147.1,153.48,,,575929,,180814_184916,-4.1531,-132.5348,-5.0543,12.7426,27.2213,-19.1718,3.5673,1.7735,15,69.4,-8.705,91.113,1924,6.219,531202,500779,575929,519203,450314,600303,595879,656941,664023,518792,54.2777,0.063,0.05,0,1,0,0,2,16,1,Sinker,0,3,3,0,3,0,3,0,Standard,Standard
CU,6/11/18,76,1.8125,5.8587,Jose Quintana,592885,500779,field_out,hit_into_play,,,,,4,"Christian Yelich grounds out, second baseman Javier Baez to first baseman Anthony Rizzo.  ",R,L,L,MIL,CHC,X,4,ground_ball,1,1,2018,-0.6541,-0.953,-0.3864,2.4683,null,null,null,0,4,Bot,146.9,149.68,,,575929,,180612_011237,-3.4138,-110.4464,1.5379,-4.6132,18.5217,-40.2406,3.3736,1.5242,24,97.2,-4.005,74.753,2160,5.311,530389,500779,575929,519203,595879,592178,608365,656941,546991,518792,55.1884,0.334,0.332,0,1,0,0,2,26,3,Curveball,1,0,1,0,0,1,1,0,Standard,Standard
SI,8/14/18,91.9,1.9979,6.0682,Jose Quintana,592885,500779,field_out,hit_into_play,,,,,7,"Christian Yelich grounds out, second baseman Ben Zobrist to first baseman Anthony Rizzo.  ",R,L,L,CHC,MIL,X,4,ground_ball,0,0,2018,0.9818,0.944,-0.4027,2.0703,null,null,null,0,1,Top,144.68,150.46,,,575929,,180814_182350,-8.195,-133.5377,-6.3685,13.3863,25.1205,-19.776,3.5283,1.703,6,95.8,-19.908,92.304,1985,6.325,531202,500779,575929,519203,450314,600303,595879,656941,664023,518792,54.172,0.186,0.169,0,1,0,0,2,2,1,Sinker,0,1,1,0,1,0,1,0,Standard,Standard
FF,7/10/18,95.9,3.4287,5.5836,Adam Conley,592885,543045,field_out,hit_into_play,,,,,6,"Christian Yelich grounds out, second baseman Starlin Castro to first baseman Garrett Cooper.  ",R,L,L,MIA,MIL,X,4,ground_ball,3,2,2018,1.4629,0.7889,0.5381,2.6408,null,null,null,2,7,Top,140.42,146.63,,,592407,,180711_012207,-10.9014,-139.2185,-3.9103,21.4125,31.547,-21.295,3.4614,1.612,12,97,-11.319,95.577,2097,6.257,530778,543045,592407,643265,516770,500743,595375,518618,457727,605119,54.2444,0.205,0.176,0,1,0,0,2,58,6,4-Seam Fastball,4,5,5,4,5,4,5,4,Standard,Standard
FC,7/27/18,86.8,2.9974,5.7461,Madison Bumgarner,592885,518516,field_out,hit_into_play,,,,,4,"Christian Yelich grounds out, second baseman Alen Hanson to first baseman Pablo Sandoval.  ",R,L,L,SF,MIL,X,4,ground_ball,2,0,2018,-0.1594,0.4267,-0.6702,2.3532,null,542979,null,2,3,Top,135.42,158.3,,,457763,,180728_025253,-8.409,-126.1247,-2.8053,-0.1098,23.771,-27.3189,3.49,1.601,12,87.6,-9.784,86.626,2134,6.092,530961,518516,457763,467055,593700,446334,543063,491676,621453,457705,54.405,0.144,0.124,0,1,0,0,2,19,3,Cutter,1,0,0,1,0,1,0,1,Standard,Standard
