pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CH,7/14/18,86.3,-2.6199,6.1259,Ivan Nova,592885,467100,single,hit_into_play_score,,,,,8,Christian Yelich singles on a sharp ground ball to right fielder Gregory Polanco.   Keon Broxton scores.    Chase Anderson to 2nd.  ,R,L,R,PIT,MIL,X,null,ground_ball,1,1,2018,-1.4321,0.6276,-0.0388,1.9782,null,542979,502624,2,5,Top,195.01,101.57,,,553869,,180714_181343,8.9041,-125.3678,-4.9121,-16.5438,21.7398,-24.9542,3.4204,1.5715,12,102.1,-8.769,85.983,2225,5.863,530832,467100,553869,605137,543281,592567,474568,572816,516782,570256,54.6365,0.273,0.259,0.9,1,1,0,2,37,3,Changeup,2,0,0,2,0,2,0,2,Standard,Standard
FT,9/19/18,92.5,-1.4629,6.318,Matt Wisler,592885,605538,field_out,hit_into_play,,,,,7,"Christian Yelich grounds out, second baseman Scooter Gennett to first baseman Joey Votto.  ",R,L,R,MIL,CIN,X,4,ground_ball,2,1,2018,-0.6875,1.0911,-0.3754,2.1621,null,null,null,1,7,Bot,161.63,149.68,,,543148,,180920_014855,4.1866,-134.5091,-7.0573,-9.0554,27.5435,-17.9503,3.49,1.601,5,96.9,-24.596,91.705,2063,5.723,531679,605538,543148,458015,571697,553993,664167,640447,571740,594988,54.7758,0.155,0.134,0,1,0,0,2,54,4,2-Seam Fastball,7,0,7,0,0,7,7,0,Strategic,Standard
FF,4/20/18,93.7,-2.226,6.0222,Kyle Barraclough,592885,607457,field_out,hit_into_play,,,,,8,"Christian Yelich grounds out, first baseman Justin Bour to pitcher Kyle Barraclough.  ",R,L,R,MIL,MIA,X,3,ground_ball,2,0,2018,-0.4569,1.2696,0.0556,1.5883,null,null,null,1,7,Bot,156.55,157.81,,,592663,,180421_025346,6.7798,-135.9523,-8.2715,-7.0935,31.7616,-15.1967,3.2939,1.4357,6,96.9,-16.342,92.172,2484,5.685,529697,607457,592663,571506,516770,605119,500743,518618,457727,543776,54.8142,0.197,0.159,0,1,0,0,2,66,3,4-Seam Fastball,8,0,8,0,0,8,8,0,Standard,Standard
SL,7/31/18,88.9,-1.0341,5.939,Walker Buehler,592885,621111,single,hit_into_play_no_out,,,,,9,Christian Yelich singles on a ground ball to second baseman Enrique Hernandez.  ,R,L,R,LAD,MIL,X,null,ground_ball,1,1,2018,0.7605,0.0858,0.5798,1.7744,null,null,null,2,3,Top,155.5,151.19,,,605131,,180801_024514,2.3811,-129.4964,-4.3937,8.0178,23.0715,-30.6526,3.5405,1.6713,6,90.5,-17.137,88.509,null,5.661,531019,621111,605131,571970,571771,592518,621035,461314,641355,624577,54.8376,0.16,0.16,0.9,1,1,0,2,18,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard
SI,7/15/18,91.5,-1.811,6.4371,Joe Musgrove,592885,605397,single,hit_into_play_no_out,,,,,6,Christian Yelich singles on a sharp ground ball to right fielder Gregory Polanco.  ,R,L,R,PIT,MIL,X,null,ground_ball,1,1,2018,-0.7828,0.4877,0.3756,2.3176,null,null,null,0,8,Top,178.05,105.21,,,553869,,180715_193915,7.1961,-133.2204,-5.6668,-10.6983,23.7979,-25.4788,3.584,1.7349,10,100.9,-12.887,92.16,2044,6.28,530847,605397,553869,605137,621559,592567,474568,572816,516782,570256,54.2192,0.26,0.25,0.9,1,1,0,2,54,3,Sinker,2,2,2,2,2,2,2,2,Standard,Standard
SL,7/21/18,85.7,-2.1528,4.833,JT Chargois,592885,608638,field_out,hit_into_play,,,,,13,Christian Yelich grounds out softly to first baseman Cody Bellinger.   Lorenzo Cain to 3rd.  ,R,L,R,MIL,LAD,X,3,ground_ball,0,1,2018,0.0155,-0.3591,-0.1819,1.3668,null,456715,null,1,7,Bot,125.97,203.4,,,518735,,180722_015103,4.6005,-124.7197,-1.2494,-0.6925,23.137,-35.8805,3.3765,1.5271,0,48.9,-72.966,85.541,2373,6.007,530880,608638,518735,641355,523253,571970,592518,621035,571771,461314,54.4923,0.163,0.147,0,1,0,0,1,60,2,Slider,4,2,4,2,2,4,4,2,Standard,Standard
FT,7/25/18,92.4,-2.5236,5.9102,Tanner Roark,592885,543699,field_out,hit_into_play,,,,,7,"Christian Yelich grounds out, second baseman Daniel Murphy to first baseman Matt Adams.  ",R,L,R,MIL,WSH,X,4,ground_ball,2,0,2018,-1.3728,0.8068,-0.5258,1.8986,null,null,null,2,1,Bot,152.99,151.71,,,446308,,180725_183143,7.8737,-134.1366,-6.0304,-17.8308,27.4096,-21.6464,3.55,1.72,5,85.2,-20.583,91.282,2018,5.622,530944,543699,446308,571431,502517,543685,607208,665742,547180,594809,54.8775,0.068,0.054,0,1,0,0,2,10,3,2-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard
CH,7/28/18,77.3,-2.799,5.7924,Johnny Cueto,592885,456501,field_out,hit_into_play,,,,,4,"Christian Yelich grounds out, second baseman Alen Hanson to first baseman Pablo Sandoval.  ",R,L,R,SF,MIL,X,4,ground_ball,2,2,2018,-0.4125,0.2988,-0.4606,2.6131,null,null,null,0,1,Top,147.17,148.81,,,460026,,180729_010652,5.6087,-112.341,-0.3877,-4.342,18.8244,-29.8873,3.49,1.601,6,91.3,-22.899,76.252,1251,5.431,530976,456501,460026,467055,593700,446334,543063,491676,621453,457705,55.0663,0.121,0.095,0,1,0,0,2,1,5,Changeup,0,0,0,0,0,0,0,0,Standard,Standard
FF,7/14/18,93.1,-2.7908,6.1734,Ivan Nova,592885,467100,field_out,hit_into_play,,,,,12,"Christian Yelich grounds out, first baseman Josh Bell to pitcher Ivan Nova.  ",R,L,R,PIT,MIL,X,3,ground_ball,2,2,2018,-0.8995,0.9918,0.8713,3.1529,null,null,null,0,1,Top,148.38,164.56,,,553869,,180714_163816,11.1474,-134.9188,-4.0027,-13.1479,29.1471,-19.7145,3.4209,1.5719,48,78.1,0.665,91.744,2382,5.687,530832,467100,553869,605137,543281,592567,474568,572816,516782,570256,54.8124,0.163,0.156,0,1,0,0,2,1,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard
FF,8/2/18,92,-1.5802,5.9786,Erik Goeddel,592885,592340,single,hit_into_play_no_out,,,,,14,"Christian Yelich singles on a ground ball to right fielder Yasiel Puig, deflected by second baseman Brian Dozier.   Eric Thames to 3rd.  ",R,L,R,LAD,MIL,X,4,ground_ball,2,2,2018,-0.6554,1.5438,0.0246,1.4432,null,null,519346,2,7,Top,160.13,144.48,,,518735,,180803_035212,5.4307,-133.602,-8.8625,-8.9364,29.5142,-12.2298,3.49,1.601,5,107.8,-14.766,91.237,2343,5.997,531044,592340,518735,641355,572821,571970,571771,592626,621035,624577,54.5018,0.31,0.281,0.9,1,1,0,2,62,6,4-Seam Fastball,12,2,2,12,2,12,2,12,Standard,Standard
